"y","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
1,0.30597719,55,0,0.728305148,8100,15,0,4,0,0
0,0.132718456,44,0,0.882872928,2714,10,0,1,0,1
0,0.142652146,40,0,0.147403182,3330,5,0,0,0,0
0,0.003996024,73,0,0.789904949,3050,9,0,1,0,1
0,0,32,0,0.422443044,4125,6,0,2,0,0
0,0.046100079,78,0,0.015062762,4779,8,0,0,0,1
0,0.650204397,24,0,0.542234332,1100,7,0,0,0,0
0,0.035964036,21,0,1,0,1,0,0,0,0
0,0.044823879,44,0,0.010463089,5160,4,0,0,0,2
1,1.024575352,53,3,0.547098854,5583,14,0,3,1,1
0,0.007692156,53,0,0.519476043,2900,10,0,1,0,0
0,0.881955902,73,0,0.440809444,2964,4,0,1,0,0
0,0.348259492,50,0,0.394511721,9000,10,0,3,0,2
0,0.121557062,58,0,0.342971419,12000,23,0,2,0,4
0,0.056979746,85,0,0.025911708,2083,3,0,0,0,0
0,0.290414742,31,0,0.356623245,5910,3,0,1,0,1
0,0,28,0,0.190126479,2450,11,0,0,0,1
0,0.014761202,59,0,0.009094427,5167,3,0,0,0,0
1,0.9999999,43,0,0.108018386,3915,1,3,0,1,0
0,0.049530031,51,0,0.09680823,3790,2,0,0,0,0
0,0.17176928,30,0,0.385802469,2915,4,0,1,0,0
0,0.369521742,34,0,0.49590082,5000,7,0,0,0,2
0,0.527680009,47,0,0.560087173,3211,12,0,0,0,2
0,0.707563816,33,0,0.102543593,6250,5,0,0,1,0
0,0.037669883,71,0,0.104289571,10000,12,0,1,0,0
0,0.684319482,47,0,0.486089054,17000,18,0,3,0,1
0,0.074136087,43,1,0.317584151,11407,8,0,2,0,3
0,0.015947363,69,0,0.002083695,5758,3,0,0,0,0
0,0.085134733,51,0,0.671202444,3600,13,0,2,0,3
1,0.683077466,62,2,0.195707816,5078,3,1,0,0,2
0,0.347112137,49,1,0.43449853,3060,12,0,1,0,2
0,0.086492476,64,0,0.074734316,5833,8,0,1,0,1
1,0.861602667,43,4,0.695602756,14076,15,1,2,4,1
0,0.187486608,58,0,0.046173423,5500,5,0,0,0,0
0,1.094940662,46,2,0.334666257,3250,12,1,1,1,1
0,0.240141733,45,1,0.043661815,9000,5,0,0,0,3
0,0.033540666,62,0,0.131597803,4186,7,0,1,0,1
0,0.023880733,80,0,0.016967707,1826,8,0,0,0,0
0,0.549005451,48,0,0.731352096,5080,8,0,2,0,1
0,0.579551398,55,0,0.081129872,9416,5,0,0,0,0
0,0.129014345,54,0,0.397734843,1500,14,0,1,0,0
0,0.449045551,25,0,0.151881351,3640,5,0,0,0,0
0,0.030665937,35,0,0.314013841,4623,6,0,1,0,0
0,0.015538291,29,0,0.132955681,3000,4,0,0,0,0
0,0.62322397,43,1,0.445728252,9000,9,0,2,0,2
0,0.072301967,66,0,0.065625,1279,2,0,0,0,0
1,0.046273306,42,0,0.313894808,8916,5,1,2,0,1
