Kraj;PRODUKT KRAJOWY BRUTTO WEDŁUG PARYTETU SIŁY NABYWCZEJ NA 1 MIESZKAŃCA w dolarach międzynarodowych;STOPA BEZROBOCIA OGÓŁEM (15 - 74 LATA) w %;WSKAŹNIKI CEN TOWARÓW I USŁUG KONSUMPCYJNYCH - OGÓŁEM;WSKAŹNIK ZATRUDNIENIA OSÓB W WIEKU 20-64 LATA  (przeciętne w roku) - KOBIETY w %;NAKŁADY NA DZIAŁALNOŚĆ BADAWCZO-ROZWOJOWĄ (B+R) w % PKB;UDZIAŁ ENERGII ZE ŹRÓDEŁ ODNAWIALNYCH W KOŃCOWYM ZUŻYCIU ENERGII BRUTTO w %;OSOBY W WIEKU 30-34 LATA POSIADAJĄCE WYŻSZE WYKSZTAŁCENIE w %;WSKAŹNIK ZAGROŻENIA UBÓSTWEM LUB WYKLUCZENIEM SPOŁECZNYM - OGÓŁEM w %;DŁUG SEKTORA INSTYTUCJI RZĄDOWYCH I SAMORZĄDOWYCH (ceny bieżące) w % PKB;UŻYTKOWNICY INTERNETU NA 1000 LUDNOŚCI;LUDNOŚĆ w tys.
Austria;50078;6;100,9;70,9;3,09;33;40,1;18;83,6;843;8758
Belgia;46383;7,8;102;63;2,49;7,9;45,6;20,7;105,7;865;11297
Bułgaria;19199;7,6;98,7;64;0,78;18,2;33,8;40,4;29;598;7151
Chorwacja;23596;13,1;98,9;56,6;0,84;29;29,5;27,9;82,9;727;4195
Cypr;32580;13,1;98,8;64,1;0,5;9,4;53,4;27,7;107,1;759;1167
Czechy;34711;4;100,7;68,6;1,68;15,1;32,8;13,3;36,8;765;10562
Dania;49696;6,2;100,3;74;2,87;30,8;47,7;16,7;37,7;970;5731
Estonia;29365;6,8;100,2;72,6;1,28;28,6;45,4;24,4;9,4;872;1317
Finlandia;43053;8,8;100,4;71,7;2,75;39,3;46,1;16,6;63,1;877;5492
Francja;41466;10,1;100,2;66,3;2,22;15,2;43,6;18,2;96,5;856;64641
Grecja ;26783;23,6;99,2;46,8;0,99;15,4;42,7;35,6;180,8;691;10944
Hiszpania;36310;19,6;99,8;58,1;1,19;16,2;40,1;27,9;99;806;46370
Holandia;50898;6;100,3;71,6;2,03;5,8;45,7;16,7;61,8;904;17028
Irlandia;68883;7,9;100;64,2;1,18;9,2;52,9;26;72,8;822;4781
Litwa;29966;7,9;100,9;74,3;0,74;25,8;58,7;30,1;40,1;744;2870
Luksemburg;105882;6,3;100,3;65,1;1,24;5;54,6;19,7;20,8;975;583
Łotwa;26031;9,6;100,1;71,8;0,44;37,6;42,8;28,5;40,6;799;1963
Malta;37899;4,7;100,9;55,5;0,61;5;29,8;20,1;57,6;773;435
Niemcy;48730;4,1;100,5;74,5;2,94;14,6;33,2;19,7;68,1;896;81762
P o l s k a;27811;6,2;99,4;62,2;0,97;11,8;44,6;21,9;54,1;733;38427
Portugalia;13225;11,2;100,6;67,4;1,27;28;34,6;25,1;130,1;704;10302
Rumunia;23626;5,9;98,4;57,4;0,48;24,8;25,6;38,8;37,6;595;19754
Słowacja;30632;9,7;99,5;62,7;0,79;12,9;31,5;18,1;51,8;805;5429
Słowenia;32885;8;99,9;66,7;2;22;44,2;18,4;78,5;755;2065
Szwecja;49175;7;101;79,2;3,25;53,9;51;18,3;42,2;915;9904
Węgry;26681;5,1;100,4;64,6;1,21;14,5;33;26,3;73,9;793;9810
Wielka Brytania;42609;4,8;100,6;72,1;1,69;8,2;48,1;22,2;88,3;948;65630
Włochy;38161;11,7;99,9;51,6;1,29;17,5;26,2;29,9;132;613;60815
